Frame_Number,Timestamp,FPS,Emotion,Attention,Posture,Movement,EAR,Left_EAR,Right_EAR,EAR_Threshold,Eye_State,Blink_Count,Horizontal_Angle,Vertical_Angle,Distance_From_Center,Head_Movement,Torso_Movement,Left_Arm_Movement,Right_Arm_Movement,Fatigue_Level,Drowsiness_Score,Angry_Score,Disgust_Score,Fear_Score,Happy_Score,Sad_Score,Surprise_Score,Neutral_Score,F0_Mean,Intensity,Jitter,Shimmer,Spectral_Centroid,Spectral_Rolloff,Zero_Crossing_Rate,Spectral_Bandwidth,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Processing_Time
1,2025-04-20 04:17:51.586,1.0,Unknown,Focused,Partially Visible,Unknown,0.4078,0.4188,0.3968,1.2000,Open,0,101.44,6.18,0.0000,0.000000,0.000000,0.000000,0.000000,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0514
2,2025-04-20 04:17:51.692,4.3,Unknown,Focused,Partially Visible,High,0.3900,0.4000,0.3801,1.2000,Closed,0,101.33,6.02,0.0000,0.067434,0.022476,0.053015,0.001392,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0276
3,2025-04-20 04:17:51.721,13.0,Unknown,Focused,Partially Visible,Moderate,0.3823,0.3902,0.3744,1.2000,Closed,0,100.93,6.01,0.0000,0.002519,0.002077,0.019708,0.002682,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0231
4,2025-04-20 04:17:51.767,15.1,Unknown,Focused,Partially Visible,Moderate,0.3781,0.3852,0.3709,1.2000,Closed,0,100.28,5.71,0.0000,0.016651,0.009563,0.021803,0.005832,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0227
5,2025-04-20 04:17:51.799,18.6,Unknown,Focused,Partially Visible,Moderate,0.3778,0.3839,0.3717,1.2000,Closed,0,100.15,5.61,0.0000,0.005904,0.001908,0.003313,0.000956,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0233
6,2025-04-20 04:17:51.833,20.4,Unknown,Focused,Partially Visible,Moderate,0.3777,0.3859,0.3696,1.2000,Closed,0,100.56,5.68,0.0000,0.002794,0.003551,0.002038,0.000306,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0231
7,2025-04-20 04:17:51.878,20.8,Unknown,Focused,Partially Visible,Low,0.3772,0.3843,0.3700,1.2000,Closed,0,100.54,5.67,0.0000,0.001829,0.001763,0.001472,0.000987,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0259
8,2025-04-20 04:17:51.931,20.5,Unknown,Focused,Partially Visible,Low,0.3788,0.3862,0.3714,1.2000,Closed,0,100.42,5.71,0.0000,0.001904,0.001332,0.006657,0.004433,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0237
9,2025-04-20 04:17:51.968,21.2,Unknown,Focused,Partially Visible,Low,0.3800,0.3878,0.3722,1.2000,Closed,0,100.47,5.68,0.0000,0.002763,0.000739,0.002476,0.007067,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0232
10,2025-04-20 04:17:52.000,22.3,Unknown,Focused,Partially Visible,Low,0.3766,0.3840,0.3692,1.2000,Closed,0,100.41,5.63,0.0000,0.003086,0.000318,0.003531,0.001193,Normal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0251
11,2025-04-20 04:17:52.031,23.2,Unknown,Focused,Partially Visible,Low,0.3757,0.3828,0.3685,1.2000,Closed,0,100.39,5.66,0.0000,0.000870,0.000236,0.001351,0.000350,Mild,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0251
12,2025-04-20 04:17:52.063,23.9,Unknown,Focused,Partially Visible,Still,0.3757,0.3818,0.3697,1.2000,Closed,0,99.99,5.60,0.0000,0.000433,0.000227,0.007020,0.005958,Mild,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0256
13,2025-04-20 04:17:52.093,24.5,Unknown,Focused,Partially Visible,Still,0.3776,0.3839,0.3713,1.2000,Closed,0,99.91,5.63,0.0000,0.000765,0.000146,0.005640,0.000361,Mild,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0240
14,2025-04-20 04:17:52.124,25.0,Unknown,Focused,Partially Visible,Still,0.3847,0.3897,0.3797,1.2000,Closed,0,99.88,5.72,0.0000,0.001225,0.000216,0.002883,0.014999,Mild,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0231
15,2025-04-20 04:17:52.156,25.6,Unknown,Focused,Partially Visible,Still,0.3932,0.3978,0.3887,1.2000,Closed,0,100.06,5.69,0.0000,0.000733,0.000111,0.001360,0.004787,Mild,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0243
